"Nazwa","Cena","Popularność","RAM(GB)","GPU","Pamięć GPU(GB)","CPU","Taktowanie(GHz)","Rdzenie","Wątki","Przekątna","System","Indeks"
"Asus TUF Gaming F15 i5-11400H / 16 GB / 512 GB / W11 / RTX 3050Ti / 144 Hz (FX506HE-HN012W)",4399.0,1,16,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,15.6,"Windows 11 Home",102
"LG Gram 14 2022 (14Z90Q-G.AA56Y)",4499.0,4,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,14.0,"Windows 11 Home",103
"Dell Latitude 3420 i5-1135G7 / 16 GB / 256 GB / W11 Pro (N122L342014EMEA_REF)",4599.09,11,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,14.0,"Windows 11 Pro",104
"HP ProBook 450 G9 (6A163EA)",4656.89,53,16,"Intel Iris Xe",0,"Intel Core i7-1255U",1.2,10,12,15.6,"Windows 11 Pro",105
"HP Victus 15-fa0129nw i5-12450H / 16 GB / 512 GB / W11 / RTX 3050Ti / 144 Hz (6Y7X3EA)",4712.99,9,16,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i5-12450H",3.3,8,12,15.6,"Windows 11 Home",106
"LG Gram 15 2022 (15Z90Q-G.AA55Y)",4699.0,5,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,15.6,"Windows 11 Home",107
"LG Gram 14 2022 (14Z90Q-G.AA55Y)",4699.0,5,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,14.0,"Windows 11 Home",108
"Lenovo Legion 5 15ARH7 Ryzen 5 6600H / 16 GB / 512 GB / RTX 3050Ti / 165 Hz (82RE003VPB)",4699.0,2,16,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"AMD Ryzen 5 6600H",3.3,6,12,15.6,"Brak",109
"Lenovo Yoga Slim 7 Carbon 13IAP7 i5-1240P / 16 GB / 512 GB / W11 / 90 Hz (82U9003GPB)",4699.0,4,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,13.3,"Windows 11 Home",110
"Dell Latitude 3430 ​i5-1235U / ​8 GB / ​256 GB / W11 Pro (BB5497)",4699.0,0,8,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,14.0,"Windows 11 Pro",111
"MSI Katana GF76 11UC-467XPL",4715.38,66,8,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,17.3,"Brak",112
"LG Gram 2w1 14 2022 (14T90Q-G.AA55Y)",4799.0,11,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,14.0,"Windows 11 Home",113
"MSI GF63 Thin 11UD-213XPL / 32 GB RAM / 512 GB SSD PCIe / 512 GB SSD / Windows 11 Pro",4999.0,1,32,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i5-11400H",2.2,6,12,15.6,"Windows 11 Pro",114
"MSI Katana GF76 11UC-467XPL / 32 GB RAM / 1 TB SSD PCIe",4999.0,5,32,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,17.3,"Brak",115
"LG Gram 16 2022 (16Z90Q-G.AA55Y)",4999.0,6,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,16.0,"Windows 11 Home",116
"Dell Latitude 3430 ​i5-1235U / ​8 GB / ​512 GB / W11 Pro (BB5498)",4999.0,0,8,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,14.0,"Windows 11 Pro",117
"Acer Nitro 5 i7-12700H / 16 GB / 512 GB / RTX 3050Ti / 144 Hz (NH.QFLEP.006)",4999.0,4,16,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i7-12700H",1.7,14,20,15.6,"Brak",118
"MSI GF63 Thin 11UC-214XPL / 32 GB RAM / 1 TB SSD PCIe / 1 TB SSD / Windows 10 Pro",5299.0,3,32,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Windows 10 Pro",119
"LG Gram 17 2022 (17Z90Q-G.AA76Y)",5299.0,27,16,"Intel Iris Xe",0,"Intel Core i7-1260P",1.5,12,16,17.0,"Windows 11 Home",120
"MSI Katana GF66 12UE-1094XPL i7-12650H / 16 GB / 512 GB / RTX 3060 / 144 Hz",5299.0,4,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-12650H",1.7,10,16,15.6,"Brak",121
"LG Gram 16 2022 (16Z90Q-G.AA75Y)",5399.0,3,16,"Intel Iris Xe",0,"Intel Core i7-1260P",1.5,12,16,16.0,"Windows 11 Home",122
